id,title,description,link,image_link,price,sale_price,availability,condition,google_product_category,product_type,brand,gtin,mpn,tax,color,gender,material,pattern,size,size_type,shipping,shipping_weight,shipping_width,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
39672408440930,3D Roller face Massager," A rejuvenating beauty roller that deeply kneads the skin and muscles on par with a luxurious, professional facial massage. Relieves facial tension Improves skin elasticity by tightening and toning the skin Reduces the appearance of fine lines Reduces dark circles around the eyes Promotes penetration of beauty products such as face creams Promotes blood circulation to the face for a healthy, natural glow Always start with clean skin that has been prepped with skincare product. Begin with the neck and roll the Tension Melting Massager along the base of the neck and the shoulders. Due to the special shape and angle of the double rollers, you will feel a deep kneading massage. Moving to the face, roll the massager in an outwards and upwards direction across the contours of the face. Breathe deeply and feel the tension melt away. Due to natural variations in stones, every roller is unique in pattern and color. Warn before use Remove accessories such as necklaces, earrings. Stack the hair or firm it with the hair band, to avoid tangling, and the massage will be more gentle. Use the bobby pin for short hair. For dry or sensitive skin, please apply a little lotion before use or Vitamin C Serum ",https://www.sensorgift.com/products/3d-roller-face-massager?variant=39672408440930,https://cdn.shopify.com/s/files/1/0555/7338/1218/products/3D-massager-roller_1_1024x1024_2x_d64b147c-f820-4d14-bda0-3b0771f1f4ee.jpg?v=1648039452,19.99 USD,,in stock,new,,N/A,sensorgift,,,,GOLD,,,,,,,0,,,,,,
39672408473698,3D Roller face Massager," A rejuvenating beauty roller that deeply kneads the skin and muscles on par with a luxurious, professional facial massage. Relieves facial tension Improves skin elasticity by tightening and toning the skin Reduces the appearance of fine lines Reduces dark circles around the eyes Promotes penetration of beauty products such as face creams Promotes blood circulation to the face for a healthy, natural glow Always start with clean skin that has been prepped with skincare product. Begin with the neck and roll the Tension Melting Massager along the base of the neck and the shoulders. Due to the special shape and angle of the double rollers, you will feel a deep kneading massage. Moving to the face, roll the massager in an outwards and upwards direction across the contours of the face. Breathe deeply and feel the tension melt away. Due to natural variations in stones, every roller is unique in pattern and color. Warn before use Remove accessories such as necklaces, earrings. Stack the hair or firm it with the hair band, to avoid tangling, and the massage will be more gentle. Use the bobby pin for short hair. For dry or sensitive skin, please apply a little lotion before use or Vitamin C Serum ",https://www.sensorgift.com/products/3d-roller-face-massager?variant=39672408473698,https://cdn.shopify.com/s/files/1/0555/7338/1218/products/Sans_titre_15_1024x1024_2x_5fdc0b0f-7557-4a75-b227-7e2c6e3f08f0.png?v=1648039452,19.99 USD,,in stock,new,,N/A,sensorgift,,,,PURPLE,,,,,,,0,,,,,,
39672408506466,3D Roller face Massager," A rejuvenating beauty roller that deeply kneads the skin and muscles on par with a luxurious, professional facial massage. Relieves facial tension Improves skin elasticity by tightening and toning the skin Reduces the appearance of fine lines Reduces dark circles around the eyes Promotes penetration of beauty products such as face creams Promotes blood circulation to the face for a healthy, natural glow Always start with clean skin that has been prepped with skincare product. Begin with the neck and roll the Tension Melting Massager along the base of the neck and the shoulders. Due to the special shape and angle of the double rollers, you will feel a deep kneading massage. Moving to the face, roll the massager in an outwards and upwards direction across the contours of the face. Breathe deeply and feel the tension melt away. Due to natural variations in stones, every roller is unique in pattern and color. Warn before use Remove accessories such as necklaces, earrings. Stack the hair or firm it with the hair band, to avoid tangling, and the massage will be more gentle. Use the bobby pin for short hair. For dry or sensitive skin, please apply a little lotion before use or Vitamin C Serum ",https://www.sensorgift.com/products/3d-roller-face-massager?variant=39672408506466,https://cdn.shopify.com/s/files/1/0555/7338/1218/products/3D-massager-roller_2_1024x1024_2x_b61fe047-191f-4b27-8306-1ec481e36de8.jpg?v=1648039452,19.99 USD,,in stock,new,,N/A,sensorgift,,,,SILVER,,,,,,,0,,,,,,
39621954863202,Apple Wood Chips - 80g," Our Wood Chips Available in three unique wood types: apple, cherry, and original mixed wood.  Each type of wood provides a unique flavor and aroma for your drinks. Each container is 80g which provides enough wood chips to infuse over 100 cocktails Wood Chips options include apple, cherry, and Original Mixed Wood Each container includes a silica pack to keep the wood free of moisture so it is ready to burn Wood chips from Aged &amp; Charred are sized for burning quickly and creating a rich plume of smoke ",https://www.sensorgift.com/products/apple-wood-chips-80g?variant=39621954863202,https://cdn.shopify.com/s/files/1/0555/7338/1218/products/5.jpg?v=1646738817,14.99 USD,,in stock,new,,N/A,Sensorgift,,,,,,,,,,,0,,,,,,
39666834538594,CELESTIAL CAT CRYSTAL SHELF, ✦ Introducing our new Celestial Cat Shelf shelf ✦ An original wooden design handcrafted by Kate and her small team at Coppermoon to bring a bit of magic and sacredness to your home. She has embedded stars in her body and a gold tinted mirror in her tail. She is made out of poplar wood and stained in a choice of dark brown and oak colour for the ginger cat and a matt black colour with Gold for the Black cat. You can choose to either have one cat facing to the left or the right or both cats to create a magical cat scene in your home! This piece is primarily designed to sit on a flat surface but it can also be hung using the included attachments Dimensions 41 cm High x 31 cm Wide x 3.6 cm Deep (for storage),https://www.sensorgift.com/products/celestial-cat-crystal-shelf?variant=39666834538594,https://cdn.shopify.com/s/files/1/0555/7338/1218/products/IMG_9018_1080x_1.webp?v=1647781453,49.99 USD,,in stock,new,,N/A,sensorgift,,,,Black Cat,,,,,,,0,,,,,,
39666834571362,CELESTIAL CAT CRYSTAL SHELF, ✦ Introducing our new Celestial Cat Shelf shelf ✦ An original wooden design handcrafted by Kate and her small team at Coppermoon to bring a bit of magic and sacredness to your home. She has embedded stars in her body and a gold tinted mirror in her tail. She is made out of poplar wood and stained in a choice of dark brown and oak colour for the ginger cat and a matt black colour with Gold for the Black cat. You can choose to either have one cat facing to the left or the right or both cats to create a magical cat scene in your home! This piece is primarily designed to sit on a flat surface but it can also be hung using the included attachments Dimensions 41 cm High x 31 cm Wide x 3.6 cm Deep (for storage),https://www.sensorgift.com/products/celestial-cat-crystal-shelf?variant=39666834571362,https://cdn.shopify.com/s/files/1/0555/7338/1218/products/facing_right.webp?v=1647781453,49.99 USD,,in stock,new,,N/A,sensorgift,,,,Black Cat,,,,,,,0,,,,,,
39666834604130,CELESTIAL CAT CRYSTAL SHELF, ✦ Introducing our new Celestial Cat Shelf shelf ✦ An original wooden design handcrafted by Kate and her small team at Coppermoon to bring a bit of magic and sacredness to your home. She has embedded stars in her body and a gold tinted mirror in her tail. She is made out of poplar wood and stained in a choice of dark brown and oak colour for the ginger cat and a matt black colour with Gold for the Black cat. You can choose to either have one cat facing to the left or the right or both cats to create a magical cat scene in your home! This piece is primarily designed to sit on a flat surface but it can also be hung using the included attachments Dimensions 41 cm High x 31 cm Wide x 3.6 cm Deep (for storage),https://www.sensorgift.com/products/celestial-cat-crystal-shelf?variant=39666834604130,https://cdn.shopify.com/s/files/1/0555/7338/1218/products/IMG_9013_1080x_025be8e2-e87c-4a23-9c0a-291efd73a308.webp?v=1647781453,98.95 USD,,in stock,new,,N/A,sensorgift,,,,Black Cat,,,,,,,0,,,,,,
39621954895970,Cherry Wood Chips - 80g," Our Wood Chips Available in three unique wood types: apple, cherry, and original mixed wood.  Each type of wood provides a unique flavor and aroma for your drinks. Each container is 80g which provides enough wood chips to infuse over 100 cocktails Wood Chips options include apple, cherry, and Original Mixed Wood Each container includes a silica pack to keep the wood free of moisture so it is ready to burn Wood chips from Aged &amp; Charred are sized for burning quickly and creating a rich plume of smoke ",https://www.sensorgift.com/products/cherry-wood-chips-80g?variant=39621954895970,https://cdn.shopify.com/s/files/1/0555/7338/1218/products/6.jpg?v=1646738818,14.99 USD,,in stock,new,,N/A,Sensorgift,,,,,,,,,,,0,,,,,,
39672439930978,Ear Cleaner Wax Removal," Ear Wax Removal device  wirelessly streams a full view of the inside of your ear to your iPhone or Android device, connects seamlessly over WiFi.it uses high brightness LED lights to illuminate the ear canal and achieve a clear image with an integrated waterproof camera to see and target wax easily and painless. Our wax removal kit can help you  illuminate the ear inspection area and capture more realistic images, which is easier to help you to check whether there is ear infection inside or remove the earwax safely, and suitable for daily ear cleaning care and professional examination of ear diseases.  Built-in WiFi hotspot and 3mm diameter camera lens, can realize clear image of earwax removal and full real-time video, rich in detail, convenient for real observation and auditory canal inspection . High brightness LED lights can provide auxiliary lighting to help improve image clarity in dark or low light conditions. It is widely compatible with Android and iOS smartphones and tablets, which makes connection more convenient. The waterproof camera lens can enter the body more easily and painlessly, and is suitable for eyes, nose, mouth, skin and other parts. Please scan QR code to download Android or IOS app. After app installed, please long press power button to turn on the ear pen. Then we will see led lights are lighting and hotspot wifi is ready to be connected. Click""Connection"" to find hotspot wifi in mobile phone wifi settings and connect it successfully. Then we can click""Start"" to enter into the display screen. ",https://www.sensorgift.com/products/ear-cleaner-wax-removal?variant=39672439930978,https://cdn.shopify.com/s/files/1/0555/7338/1218/products/Ear-wax-removal_1024x1024_2x_3ebe195d-5f9b-454b-a3a9-df7f4fb57b78.png?v=1648040752,37.95 USD,,in stock,new,,N/A,sensorgift,,,,Green,,,,,,,0,,,,,,
39672439963746,Ear Cleaner Wax Removal," Ear Wax Removal device  wirelessly streams a full view of the inside of your ear to your iPhone or Android device, connects seamlessly over WiFi.it uses high brightness LED lights to illuminate the ear canal and achieve a clear image with an integrated waterproof camera to see and target wax easily and painless. Our wax removal kit can help you  illuminate the ear inspection area and capture more realistic images, which is easier to help you to check whether there is ear infection inside or remove the earwax safely, and suitable for daily ear cleaning care and professional examination of ear diseases.  Built-in WiFi hotspot and 3mm diameter camera lens, can realize clear image of earwax removal and full real-time video, rich in detail, convenient for real observation and auditory canal inspection . High brightness LED lights can provide auxiliary lighting to help improve image clarity in dark or low light conditions. It is widely compatible with Android and iOS smartphones and tablets, which makes connection more convenient. The waterproof camera lens can enter the body more easily and painlessly, and is suitable for eyes, nose, mouth, skin and other parts. Please scan QR code to download Android or IOS app. After app installed, please long press power button to turn on the ear pen. Then we will see led lights are lighting and hotspot wifi is ready to be connected. Click""Connection"" to find hotspot wifi in mobile phone wifi settings and connect it successfully. Then we can click""Start"" to enter into the display screen. ",https://www.sensorgift.com/products/ear-cleaner-wax-removal?variant=39672439963746,https://cdn.shopify.com/s/files/1/0555/7338/1218/products/Ear-wax-removal_2__jpg_1024x1024_2x_61915356-7058-49f4-b7a9-6a50f079bbc2.png?v=1648040752,37.95 USD,,in stock,new,,N/A,sensorgift,,,,Red,,,,,,,0,,,,,,
